Title,Note,URL,Tags,Comment
,,,,
La Prosciutteria Milano Navigli,,https://www.google.com/maps/place/La+Prosciutteria+Milano+Navigli/data=!4m2!3m1!1s0x4786c3fa3e18ab87:0xecb6f8bf45bb4b64,,
Princi,,https://www.google.com/maps/place/Princi/data=!4m2!3m1!1s0x4786c6ac74c8ea23:0x18d869ce5cabd4e7,,
LEMAIRE | Rinascente,,https://www.google.com/maps/place/LEMAIRE+%7C+Rinascente/data=!4m2!3m1!1s0x4786c7dd68408a9d:0xc25c9a6ccf3ceab6,,
Stüssy,,https://www.google.com/maps/place/St%C3%BCssy/data=!4m2!3m1!1s0x4786c400a780e89b:0xbf2befaf200e9153,,
Barbara Di Davide,,https://www.google.com/maps/place/Barbara+Di+Davide/data=!4m2!3m1!1s0x4786c7607db6ebcf:0x76776483c5b49604,,
Antonia,,https://www.google.com/maps/place/Antonia/data=!4m2!3m1!1s0x4786c6b2b392be7d:0xe6e3a79b391282ff,,
